,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,precision_recall
Latent dirichlet allocation,crossref,0.0,0.0,0.0,0.6821101748637259,,,,,
"A Multi-View Embedding Space for Modeling Internet Images, Tags, and Their Semantics",crossref,0.0,0.0,0.0,0.6822281581653394,,,,,
Canonical correlation analysis: An overview with application to learning methods,crossref,0.5,0.19047619047619047,0.38461538461538464,0.8572902974007228,,,,,
Accounting for the Relative Importance of Objects in Image Retrieval,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,
CrossModal Similarity Learning: A Low Rank Bilinear Formulation,,,,,,,,,,
Improving web-image search results using query-relative classifiers,,,,,,,,,,
Imagenet classification with deep convolutional neural networks,crossref,0.9,0.2,0.018867924528301886,0.78563500994106,,,,,
Learning hash functions for cross-view similarity search,,,,,,,,,,
Learning Multimodal Neural Network with Ranking Examples,crossref,0.0,0.0,0.0,0.6845644593600126,,,,,
Collecting image annotations using Amazon’s Mechanical Turk,,,,,,,,,,
A new approach to cross-modal multimedia retrieval,crossref,0.0,0.0,0.0,0.676104901229539,,,,,
Overview and recent advances in partial least squares,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,
"Bypassing synthesis: PLS for face recognition with pose, lowresolution and sketch",,,,,,,,,,
Generalized multiview analysis: A discriminative latent space,crossref,0.0,0.0,0.0,0.6862318520360124,,,,,
Separating style and content with bilinear models,crossref,1.0,1.0,0.0,0.6840501657356975,,,,,
Effective MultiModal Retrieval based on Stacked Auto-Encoders,,,,,,,,,,
Learning a mid-level feature space for cross-media regularization,crossref,0.0,0.0,0.0,0.6782447337352934,,,,,
Cross-media semantic representation via bi-directional learning to rank,crossref,0.0,0.0,0.0,0.6749642250065336,,,,,
Sparse Multi-Modal Hashing,crossref,0.0,0.0,0.0,0.6816421136974874,,,,,
A multimedia retrieval framework based on semi-supervised ranking and relevance feedback,crossref,0.0,0.0,0.0,0.6907987525313919,,,,,
Cross-media retrieval using query dependent search methods,crossref,0.0,0.0,0.0,0.6907987525313919,,,,,
Ranking with local regression and global alignment for cross media retrieval,crossref,0.0,0.0,0.0,0.6907987525313919,,,,,
Harmonizing hierarchical manifolds for multimedia document semantics understanding and cross-media retrieval,crossref,0.0,0.0,0.0,0.6782447337352934,,,,,
Cross-media retrieval by intra-media and inter-media correlation mining,crossref,0.0,0.0,0.0,0.6770509698618833,,,,,
Mining Semantically Consistent Patterns for Cross-View Data,crossref,0.0,0.0,0.0,0.6782447337352934,,,,,
Cross-Media Hashing with Neural Networks,crossref,0.0,0.0,0.0,0.6845644593600126,,,,,
