,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,precision_recall,pdf-precision,pdf-recall
Recommender systems survey,crossref,0.0,0.0,0.0,0.6846412835224264,,,,,,,
Recommender system application developments: a survey,crossref,0.0,0.0,0.0,0.6811421629613637,,,,,,,
Content-based recommender systems: State of the art and trends,crossref,0.0,0.0,0.0,0.6921506111689169,,,,,,,
A survey of collaborative filtering techniques,crossref,0.8,0.38461538461538464,0.2808988764044944,0.9058461777318323,,,,,,,
Content-based recommender systems,,,,,,,,,,,,
"Content-based recommendation systems. In The adaptive web, pages 325–341",,,,,,,,,,,,
Semantics-aware contentbased recommender systems,,,,,,,,,,,,
Distributed representations of sentences and documents,arxiv Library,0.75,0.5333333333333333,0.1553398058252427,0.8493722621521238,arxiv Library,0.5,,0.878344373009347,,0.4,0.1411764705882353
Toward the next generation of recommender systems: A survey of the state-of-the-art and possible extensions. Knowledge and Data Engineering,,,,,,,,,,,,
Item cold-start recommendations: learning local collective embeddings,,,,,,,,,,,,
Methods and metrics for cold-start recommendations,crossref,0.0,0.0,0.0,0.6813945274970608,,,,,,,
Integrating trust and similarity to ameliorate the data sparsity and cold start for recommender systems,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
A collaborative filtering approach to mitigate the new user cold start problem,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Combining content and collaboration in text filtering,,,,,,,,,,,,
Indexing by latent semantic analysis,crossref,0.0,0.0,0.0,0.6666481670844261,,,,,,,
Grouplens: an open architecture for collaborative filtering of netnews,,,,,,,,,,,,
Grouplens: applying collaborative filtering to usenet news,,,,,,,,,,,,
Item-based collaborative filtering recommendation algorithms,crossref,0.0,0.0,0.0,0.6631497334392773,,,,,,,
Item-based top-n recommendation algorithms,,,,,,,,,,,,
Amazon. com recommendations: Item-to-item collaborative filtering,,,,,,,,,,,,
Empirical analysis of predictive algorithms for collaborative filtering,arxiv Library,0.4,0.24390243902439024,0.07936507936507936,0.8460161732680179,arxiv Library,0.5,,0.8585125361352641,,0.17073170731707318,0.11475409836065574
Collaborative filtering with the simple bayesian classifier,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Collaborative filtering for multi-class data using belief nets algorithms,crossref,0.0,0.0,0.0,0.6695887496257336,,,,,,,
Clustering methods for collaborative filtering,,,,,,,,,,,,
Rectree: An efficient collaborative filtering method,crossref,0.0,0.0,0.0,0.6695887496257336,,,,,,,
Latent semantic models for collaborative filtering,crossref,0.5,0.14634146341463414,0.06060606060606061,0.8332523388659913,,,,,,,
Learning collaborative information filters,,,,,,,,,,,,
Large-scale parallel collaborative filtering for the netflix prize,crossref,0.0,0.0,0.0,0.6695887496257336,,,,,,,
Matrix factorization techniques for recommender systems,crossref,0.0,0.0,0.0,0.6695887496257336,,,,,,,
Collaborative filtering using a regression-based approach,crossref,0.0,0.0,0.0,0.6695887496257336,,,,,,,
An mdp-based recommender system,,,,,,,,,,,,
Model-based collaborative filtering,crossref,0.0,0.0,0.0,0.6695887496257336,,,,,,,
"Word representations: a simple and general method for semi-supervised learning. In Proceedings of the 48th annual meeting of the association for computational linguistics, pages 384–394",,,,,,,,,,,,
Latent dirichlet allocation,crossref,0.0,0.0,0.0,0.6670968124925113,,,,,,,
Learning word vectors for sentiment analysis,,,,,,,,,,,,
A neural knowledge language model,arxiv Library,0.0,0.35,0.0945945945945946,0.7680913894084189,arxiv Library,0.8,,0.8345470603868299,,0.65,0.16049382716049382
Query sense disambiguation leveraging large scale user behavioral data,crossref,0.0,0.0,0.0,0.6900203686593247,,,,,,,
Software Framework for Topic Modelling with Large Corpora,,,,,,,,,,,,
