,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,precision_recall,pdf-precision,pdf-recall
Mechanisms and Games for Dynamic Spectrum Allocation,crossref,0.5,0.2608695652173913,0.07894736842105263,0.794213614662385,,,,,,,
A Game-Theoretic Analysis of Wind Generation Variability on Electricity Markets,crossref,0.0,0.0,0.0,0.6696592966412903,,,,,,,
"Game-Theoretic Methods for the Smart Grid: An Overview of Microgrid Systems, Demand-Side Management, and Smart Grid Communications",crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Security Games for Risk Minimization in Automatic Generation Control,crossref,0.0,0.0,0.0,0.6696592966412903,,,,,,,
"Security and Game Theory: Algorithms, Deployed Systems, Lessons Learned",,,,,,,,,,,,
A Learning- Based Approach to Reactive Security,,,,,,,,,,,,
"Game-Theoretic Methods for Robustness, Security, and Resilience of Cyberphysical Control Systems: Games-in- Games Principle for Optimal Cross-Layer Resilient Control Systems",,,,,,,,,,,,
"Convex Optimization for Big Data: Scalable, randomized, and parallel algorithms for big data analytics",crossref,0.0,0.0,0.0,0.6844376607970813,,,,,,,
Abstraction for Solving Large Incomplete- Information Games,,,,,,,,,,,,
Combining Compact Representation and Incremental Generation in Large Games with Sequential Strategies,crossref,0.2,0.391304347826087,0.1111111111111111,0.8111886207884322,,,,,,,
On the relationship between Nash— Cournot and Wardrop equilibria,,,,,,,,,,,,
Nonasymptotic Mean-Field Games,crossref,0.0,0.0,0.0,0.6826921036740857,,,,,,,
"Satisficing the Masses: Applying Game Theory to Large-Scale, Democratic Decision Problems",crossref,0.0,0.0,0.0,0.6785863141089502,,,,,,,
Give a Hard Problem to a Diverse Team: Exploring Large Action Spaces,crossref,0.8,0.6842105263157895,0.13541666666666666,0.8592631107574191,,,,,,,
Scaling-up Security Games with Boundedly Rational Adversaries: A Cutting-plane Approach,,,,,,,,,,,,
The Security of Machine Learning,,,,,,,,,,,,
Privacy preserving data mining,,,,,,,,,,,,
Calibrating Noise to Sensitivity in Private Data Analysis,crossref,0.2,0.36363636363636365,0.07894736842105263,0.8090455346905135,,,,,,,
On Attacking Statistical Spam Filters,,,,,,,,,,,,
Good Word Attacks on Statistical Spam Filters,,,,,,,,,,,,
Exploiting machine learning to subvert your spam filter,,,,,,,,,,,,
Paragraph: Thwarting Signature Learning by Training Maliciously,crossref,0.0,0.0,0.0,0.6855719729913512,,,,,,,
Evading Network Anomaly Detection Systems: Formal Reasoning and Practical Techniques,,,,,,,,,,,,
ANTIDOTE: Understanding and Defending against Poisoning of Anomaly Detectors,,,,,,,,,,,,
Adversarial Classification,crossref,0.0,0.0,0.0,0.6879828300973936,,,,,,,
Nash Equilibria of Static Prediction Games,,,,,,,,,,,,
"Prediction, Learning, and Games",crossref,0.5,0.2903225806451613,0.08653846153846154,0.7706849292393733,,,,,,,
Regret Minimizing Audits: A Learning-Theoretic Basis for Privacy Protection,crossref,0.0,0.0,0.0,0.7009161054520188,,,,,,,
"Robust Statistics, Probability and Mathematical Statistics",,,,,,,,,,,,
Extensions of Lipschitz mappings into a Hilbert space,crossref,0.0,0.0,0.0,0.6799285061235459,,,,,,,
An algorithmic theory of learning: Robust concepts and random projection,crossref,0.0,0.0,0.0,0.6883664939968517,,,,,,,
A theory of the learnable,crossref,0.0,0.0,0.0,0.7006134703210076,,,,,,,
Random features for large-scale kernel machines,,,,,,,,,,,,
"Learning with kernels: support vector machines, regularization, optimization, and beyond",crossref,0.0,0.0,0.0,0.678514899265052,,,,,,,
The Matrix Cookbook,,,,,,,,,,,,
Random Projections for Linear Support Vector Machines,arxiv Library,0.0,0.3125,0.06756756756756757,0.7765116929225456,arxiv Library,0.0,,0.875878142486891,,0.3125,0.09803921568627451
