,abstract,faithfulness,precision_recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,precision,recall,pdf-precision,pdf-recall
"Information Processing in Dynamical Systems: Foundations of Harmony Theory. In Parallel Distributed Processing: Explorations in the Microstructure of Cognition, pages 194–281",,,,,,,,,,,,
Unsupervised learning of distributions of binary vectors using 2-layer networks,,,,,,,,,,,,
Factored 3-way restricted Boltzmann machines for modeling natural images,,,,,,,,,,,,
Replicated Softmax: an Undirected Topic Model,,,,,,,,,,,,
Restricted Boltzmann machines for collaborative filtering,crossref,0.0,,0.6903162473208065,,,,,0.0,0.0,,
Exponential family harmoniums with an application to information retrieval,,,,,,,,,,,,
Parameter inference for imperfectly observed Gibbsian fields,,,,,,,,,,,,
A neural probabilistic language model,,,,,,,,,,,,
Hierarchical probabilistic neural network language model,,,,,,,,,,,,
A scalable hierarchical distributed language model,,,,,,,,,,,,
On the alias method for generating random variables from a discrete distribution,crossref,0.0,,0.6657497327855675,,,,,0.0,0.0,,
Training products of experts by minimizing contrastive divergence,crossref,0.5,,0.7934085855233656,,,,,0.22727272727272727,0.1,,
Sénécal. Quick training of probabilistic neural nets by importance sampling,,,,,,,,,,,,
Word representations: A simple and general method for semisupervised learning,,,,,,,,,,,,
A unified architecture for natural language processing: Deep neural networks with multitask learning,,,,,,,,,,,,
Three new graphical models for statistical language modelling,crossref,0.0,,0.7019992385653937,,,,,1.0,0.0,,
Natural Language Processing with Python: Analyzing Text with the Natural Language Toolkit,,,,,,,,,,,,
Natural language processing (almost) from scratch,arxiv Library,0.0,,0.7813125554616455,arxiv Library,0.0,,0.8562996917349737,0.1891891891891892,0.08433734939759036,0.2972972972972973,0.14864864864864866
Multi-view learning of word embeddings via CCA,,,,,,,,,,,,
Visualizing data using t-SNE,,,,,,,,,,,,
Learning word vectors for sentiment analysis,,,,,,,,,,,,
