,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,precision_recall,pdf-precision,pdf-recall
Struck: Structured output tracking with kernels,crossref,0.0,0.0,0.0,0.6830857159431295,,,,,,,
Structured learning and prediction in computer vision,crossref,0.0,0.0,0.0,0.6850458323137454,,,,,,,
Learning to localize objects with structured output regression,crossref,0.0,0.0,0.0,0.6721302129330209,,,,,,,
Support vector machine learning for interdependent and structured output spaces,crossref,0.0,0.0,0.0,0.6835092845358208,,,,,,,
Multi-class support vector machines,,,,,,,,,,,,
On the algorithmic implementation of multiclass kernel-based vector mchines,,,,,,,,,,,,
On the dual formulation of boosting algorithms,arxiv Library,0.2,0.313953488372093,0.2872340425531915,0.7970459723049075,arxiv Library,0.0,,0.8776906911621253,,0.2558139534883721,0.3013698630136986
Training linear SVMs in linear time,crossref,0.0,0.0,0.0,0.6773452205013409,,,,,,,
Linear programming boosting via column generation,,,,,,,,,,,,
Conditional random fields: Probabilistic models for segmenting and labeling sequence data,,,,,,,,,,,,
A direct formulation for totally-corrective multi-class boosting,crossref,0.0,0.0,0.0,0.6584546086068255,,,,,,,
An introduction to conditional random fields,arxiv Library,1.0,0.3448275862068966,0.11904761904761904,0.8297538339825495,arxiv Library,0.8,,0.8921123865894723,,0.3103448275862069,0.125
Multi-class image segmentation using conditional random fields and global classification,crossref,0.0,0.0,0.0,0.6667260149908922,,,,,,,
Kernelized structural SVM learning for supervised object segmentation,crossref,0.0,0.0,0.0,0.6690072117372379,,,,,,,
Discriminative models for multi-class object layout,crossref,0.0,0.0,0.0,0.6899659563425803,,,,,,,
Learning CRFs using graph cuts,crossref,0.0,0.0,0.0,0.6733588309774756,,,,,,,
Boosting structured prediction for imitation learning,crossref,0.0,0.0,0.0,0.6793350290835422,,,,,,,
Boosting algorithms as gradient descent,,,,,,,,,,,,
Structured gradient boosting,,,,,,,,,,,,
Simple training of dependency parsers via structured boosting,,,,,,,,,,,,
Optimized cutting plane algorithm for support vector machines,crossref,0.0,0.0,0.0,0.6953819787283404,,,,,,,
SUN database: Large-scale scene recognition from abbey to zoo,crossref,0.0,0.0,0.0,0.6886691353006783,,,,,,,
On parameter learning in CRF-based approaches to object class image segmentation,crossref,0.0,0.0,0.0,0.6828085402285803,,,,,,,
Class segmentation and object localization with superpixel neighborhoods,crossref,0.0,0.0,0.0,0.6727331552174349,,,,,,,
An efficient boosting algorithm for combining preferences,,,,,,,,,,,,
Beyond bags of features: Spatial pyramid matching for recognizing natural scene categories,crossref,0.0,0.0,0.0,0.6751994967085704,,,,,,,
Fast and accurate digit classification,,,,,,,,,,,,
Scene classification using a hybrid generative/discriminative approach,crossref,0.0,0.0,0.0,0.6900505802433782,,,,,,,
CENTRIST: A visual descriptor for scene categorization,crossref,0.0,0.0,0.0,0.7000492958163007,,,,,,,
"Multiclass learning, boosting, and error-correcting codes",crossref,0.0,0.0,0.0,0.6558042648231031,,,,,,,
Improved boosting algorithms using confidence-rated predictions,crossref,0.0,0.0,0.0,0.6654166513097722,,,,,,,
Object detection with discriminatively trained part-based models,crossref,0.0,0.0,0.0,0.6728777067225652,,,,,,,
Visual tracking with online multiple instance learning,crossref,0.0,0.0,0.0,0.6902041301712517,,,,,,,
Robust fragments-based tracking using the integral histogram,crossref,0.0,0.0,0.0,0.6948966576102145,,,,,,,
Real-time tracking via on-line boosting,crossref,0.0,0.0,0.0,0.6948966576102145,,,,,,,
Visual tracking decomposition,crossref,0.0,0.0,0.0,0.6838521297045965,,,,,,,
Superpixel tracking,crossref,0.0,0.0,0.0,0.6713340125658092,,,,,,,
Superparsing: Scalable nonparametric image parsing with superpixels,crossref,0.0,0.0,0.0,0.6909793569745124,,,,,,,
