,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,pdf-precision,pdf-recall,precision_recall
Fast structure learning in generalized stochastic processes with latent factors,crossref,0.0,0.0,0.0,0.6636158009768205,,,,,,,
Theano: new features and speed improvements,arxiv Library,0.5,0.15,0.06818181818181818,0.8053967646911784,arxiv Library,0.0,,0.8353298266926149,0.45,0.13846153846153847,
A simple algorithm for identifying negated findings and diseases in discharge summaries,crossref,0.0,0.0,0.0,0.7363311942926511,,,,,,,
Constructing disease network and temporal progression model via context-sensitive hawkes process,crossref,0.0,0.0,0.0,0.6817764816287977,,,,,,,
Empirical evaluation of gated recurrent neural networks on sequence modeling,arxiv Library,1.0,0.26666666666666666,0.13559322033898305,0.896141361706906,arxiv Library,0.5,,0.9149850116711783,0.4666666666666667,0.22580645161290322,
A semi-markov model for multistate and interval-censored data with multiple terminal events. application in renal transplantation,,,,,,,,,,,,
Generating sequences with recurrent neural networks,arxiv Library,1.0,1.0,0.0,0.6593169275523024,arxiv Library,0.0,,0.7040536419201029,1.0,0.0,
Towards end-to-end speech recognition with recurrent neural networks,,,,,,,,,,,,
A novel connectionist system for unconstrained handwriting recognition,crossref,0.0,0.0,0.0,0.6773273192740394,,,,,,,
A tractable inference algorithm for diagnosing multiple diseases,arxiv Library,1.0,1.0,0.0,0.6539146191548426,arxiv Library,0.0,,0.6852997002905725,1.0,0.0,
Long short-term memory,,,,,,,,,,,,
Bayesian nonparametric hidden semi-markov models,,,,,,,,,,,,
Some different types of essential hypertension: their course and prognosis,crossref,0.0,0.0,0.0,0.6527677510431291,,,,,,,
Unifying visual-semantic embeddings with multimodal neural language models,,,,,,,,,,,,
Essential hypertension and cognitive function,,,,,,,,,,,,
Latent Continuous Time Markov Chains for Partially-Observed Multistate Disease Processes,,,,,,,,,,,,
"A joint model for multistate disease processes and random informative observation times, with applications to electronic medical records",,,,,,,,,,,,
A simple way to initialize recurrent networks of rectified linear units,arxiv Library,0.5,0.28,0.1,0.827146489160022,arxiv Library,0.5,,0.8659142475915469,0.44,0.15942028985507245,
Discovering latent network structure in point process data,arxiv Library,1.0,1.0,0.0,0.6658051372824701,arxiv Library,0.0,,0.6962290828532256,1.0,0.0,
Multivariate hawkes processes,,,,,,,,,,,,
Distributed representations of words and phrases and their compositionality,arxiv Library,0.0,0.3157894736842105,0.21176470588235294,0.8266429126629972,arxiv Library,0.3,,0.8418220799809747,0.2982456140350877,0.23943661971830985,
Continuous time bayesian networks,arxiv Library,0.0,0.29545454545454547,0.12149532710280374,0.8390177494200686,arxiv Library,0.5,,0.8904312862635176,0.25,0.16176470588235295,
The survival filter: Joint survival analysis with a latent time series,,,,,,,,,,,,
Exact solutions to the nonlinear dynamics of learning in deep linear neural networks,arxiv Library,0.5,0.22727272727272727,0.03597122302158273,0.7284434845288394,arxiv Library,0.5,,0.8652735209864479,0.45454545454545453,0.136986301369863,
Diabetic cataract formation: potential role of glycosylation of lens crystallins,,,,,,,,,,,,
Sequence to sequence learning with neural networks,arxiv Library,0.0,0.0,0.0,0.7525795905700073,arxiv Library,0.0,,0.8080116485250377,0.2222222222222222,0.02666666666666667,
"A point process framework for relating neural spiking activity to spiking history, neural ensemble, and extrinsic covariate effects",crossref,0.5,0.35294117647058826,0.1016949152542373,0.7999582258603609,,,,,,,
Estimation of space–time branching process models in seismology using an em–type,,,,,,,,,,,,
Learning to execute,arxiv Library,1.0,1.0,0.0,0.6510039053892972,arxiv Library,0.0,,0.680277159326556,1.0,0.0,
Learning social infectivity in sparse low-rank networks using multi-dimensional hawkes processes,,,,,,,,,,,,
Nonlinear Hawkes Processes,arxiv Library,1.0,1.0,0.0,0.6593518098067368,arxiv Library,0.0,,0.6973865193074893,1.0,0.0,
