,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,precision_recall,pdf-precision,pdf-recall
Computational stereo,crossref,0.0,0.0,0.0,0.6997287979654602,,,,,,,
PatchMatch: a randomized correspondence algorithm for structural image editing,crossref,0.0,0.0,0.0,0.6719537543419456,,,,,,,
3D- R2N2: A unified approach for single and multi-view 3d object reconstruction,,,,,,,,,,,,
A space-sweep approach to true multi-image matching,crossref,0.0,0.0,0.0,0.6627786091280605,,,,,,,
Minimizing the multi-view stereo reprojection error for triangular surface meshes,crossref,0.0,0.0,0.0,0.6854918914844674,,,,,,,
Massively parallel multiview stereopsis by surface normal diffusion,crossref,0.0,1.0,0.0,0.7335221805425151,,,,,,,
Just look at the image: viewpoint-specific surface normal prediction for improved multi-view reconstruction,crossref,0.0,0.0,0.0,0.6951224566057176,,,,,,,
Are we ready for autonomous driving? the KITTI vision benchmark suite,crossref,0.0,0.0,0.0,0.6874723359335149,,,,,,,
MatchNet: Unifying feature and metric learning for patchbased matching,,,,,,,,,,,,
Real-time direct dense matching on fisheye images using plane-sweeping stereo,crossref,0.0,0.0,0.0,0.6737491025441379,,,,,,,
Computer Matching of Areas in Stereo Images,crossref,0.0,0.0,0.0,0.6748195141044553,,,,,,,
Large scale multi-view stereopsis evaluation,crossref,0.0,0.0,0.0,0.6877477800608293,,,,,,,
Caffe: Convolutional architecture for fast feature embedding,arxiv Library,1.0,0.45454545454545453,0.046296296296296294,0.8388145983609827,arxiv Library,0.5,,0.8508368422850838,,0.6363636363636364,0.08333333333333333
A stereo machine for video-rate dense depth mapping and its new applications,crossref,0.0,0.0,0.0,0.6839292071909298,,,,,,,
Direct visibility of point sets,crossref,0.0,0.0,0.0,0.6755839622538495,,,,,,,
Distinctive image features from scale-invariant keypoints,crossref,0.0,0.0,0.0,0.6706974842441775,,,,,,,
A taxonomy and evaluation of dense two-frame stereo correspondence algorithms,crossref,0.0,0.0,0.0,0.6874723359335149,,,,,,,
A multi-view stereo benchmark with high-resolution images and multi-camera videos,crossref,0.0,0.0,0.0,0.6843001651339593,,,,,,,
A comparison and evaluation of multi-view stereo reconstruction algorithms,crossref,0.0,0.0,0.0,0.6808164115920643,,,,,,,
Discriminative learning of deep convolutional feature point descriptors,crossref,0.0,0.0,0.0,0.6724965102557927,,,,,,,
Learning local feature descriptors using convex optimisation,crossref,0.0,0.0,0.0,0.6819599487443792,,,,,,,
On benchmarking camera calibration and multi-view stereo for high resolution imagery,crossref,0.0,0.0,0.0,0.6816849945865967,,,,,,,
LIFT: learned invariant feature transform,arxiv Library,0.0,0.1411764705882353,0.2033898305084746,0.8034448839249926,arxiv Library,0.7,,0.8942053135352935,,0.25882352941176473,0.2682926829268293
Toward robust distance metric analysis for similarity estimation,crossref,0.0,0.0,0.0,0.6612142943439676,,,,,,,
Fast and high quality fusion of depth maps,,,,,,,,,,,,
Learning to compare image patches via convolutional neural networks,arxiv Library,0.0,0.34375,0.15942028985507245,0.8538686595049029,arxiv Library,0.7,,0.8754882683169782,,0.3125,0.12345679012345678
Computing the stereo matching cost with a convolutional neural network,arxiv Library,0.5,0.24444444444444444,0.1746031746031746,0.8431891640516691,arxiv Library,0.5,,0.8651287809230417,,0.2222222222222222,0.12987012987012986
