,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision,pdf-recall,pdf-semantic_similarity,pdf-precision_recall,precision_recall
Online linear optimization via smoothing,arxiv Library,0.0,0.125,0.13846153846153847,0.7582769831229867,arxiv Library,0.0,0.1527777777777778,0.1746031746031746,0.8602748572922654,,
Spectral smoothing via random matrix perturbations,arxiv Library,0.5,0.37209302325581395,0.1702127659574468,0.7969256189850569,,,,,,,
"Using optimization to obtain a widthindependent, parallel, simpler, and faster positive SDP solver",,,,,,,,,,,,
Doubly Accelerated Methods for Faster CCA and Generalized Eigendecomposition,arxiv Library,0.5,0.5,0.15151515151515152,0.8438951900340512,arxiv Library,0.0,0.35,0.0958904109589041,0.8518491189176212,,
Even Faster SVD Decomposition Yet Without Agonizing Pain,,,,,,,,,,,,
"First Efficient Convergence for Streaming k-PCA: a Global, Gap- Free, and Near-Optimal Rate",,,,,,,,,,,,
Spectral Sparsification and Regret Minimization Beyond Multiplicative Updates,,,,,,,,,,,,
Improved SVRG for Non-Strongly-Convex or Sum-of-Non-Convex Objectives,,,,,,,,,,,,
The Multiplicative Weights Update Method: a Meta- Algorithm and Applications,,,,,,,,,,,,
"A combinatorial, primal-dual approach to semidefinite programs",crossref,0.0,0.0,0.0,0.6653775159035615,,,,,,,
Online principal components analysis,crossref,0.0,0.0,0.0,0.6833723124192935,,,,,,,
"Prediction, Learning, and Games",crossref,0.7,0.3333333333333333,0.10576923076923077,0.7443367722696833,,,,,,,
Analyze gauss: optimal bounds for privacy-preserving principal component analysis,,,,,,,,,,,,
Un-regularizing: approximate proximal point and faster stochastic algorithms for empirical risk minimization,arxiv Library,0.0,0.23809523809523808,0.056179775280898875,0.7625079121267564,arxiv Library,0.0,0.3333333333333333,0.11475409836065574,0.8394387316433595,,
Fast and simple PCA via convex optimization,arxiv Library,0.0,0.3877551020408163,0.17757009345794392,0.7613530729697838,arxiv Library,0.0,0.32653061224489793,0.24615384615384617,0.8501236832335142,,
Online learning of eigenvectors,,,,,,,,,,,,
The noisy power method: A meta algorithm with applications,arxiv Library,0.5,0.2692307692307692,0.09210526315789473,0.813605606013372,arxiv Library,0.5,0.34615384615384615,0.13043478260869565,0.8605271832135686,,
QIP = PSPACE,arxiv Library,0.9,0.3333333333333333,0.2708333333333333,0.8135135388563371,arxiv Library,0.9,0.3333333333333333,0.24074074074074073,0.8646550133267094,,
Online pca with spectral bounds,,,,,,,,,,,,
Pca with gaussian perturbations,arxiv Library,0.5,0.28,0.12173913043478261,0.8408507148927481,arxiv Library,0.5,0.32,0.21052631578947367,0.8660162473024642,,
Constructing linear-sized spectral sparsification in almost-linear time,crossref,0.0,0.0,0.0,0.6588801488497413,,,,,,,
A Universal Catalyst for First-Order Optimization,,,,,,,,,,,,
"Introductory Lectures on Convex Programming Volume: A Basic course, volume I",,,,,,,,,,,,
Online pca with optimal regrets,crossref,0.0,0.0,0.0,0.6567772983885938,,,,,,,
Fast Approximation Algorithms for Graph Partitioning using Spectral and Semidefinite-Programming Techniques,,,,,,,,,,,,
"Approximating the exponential, the lanczos method and an Õ(m)-time spectral algorithm for balanced separator",,,,,,,,,,,,
Faster and simpler width-independent parallel algorithms for positive semidefinite programming,crossref,0.0,0.0,0.0,0.6679118206727988,,,,,,,
"SDCA without Duality, Regularization, and Individual Convexity",arxiv Library,0.0,0.13636363636363635,0.06666666666666667,0.7260163409182337,arxiv Library,0.0,0.22727272727272727,0.08064516129032258,0.8265940207952116,,
Convergence of stochastic gradient descent for pca,arxiv Library,0.0,0.2,0.0425531914893617,0.7218170059086644,arxiv Library,0.0,0.3,0.08571428571428572,0.7972018025412231,,
An introduction to the conjugate gradient method without the agonizing pain,,,,,,,,,,,,
Note on the gamma function,crossref,0.0,0.1,0.07142857142857142,0.7279694145241226,,,,,,,
