,abstract,faithfulness,precision_recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,precision,recall,pdf-precision,pdf-recall
Generalization bounds for the area under the ROC curve,,,,,,,,,,,,
The ladder: A reliable leaderboard for machine learning competitions,arxiv Library,0.5,,0.8482718338818305,arxiv Library,0.3,,0.8643742720162355,0.16554054054054054,0.35251798561151076,0.0945945945945946,0.3684210526315789
A learning theory approach to noninteractive database privacy,crossref,1.0,,0.6272567940703164,,,,,1.0,0.0,,
Privacy-preserving logistic regression,crossref,0.0,,0.7019992385653937,,,,,1.0,0.0,,
Preserving statistical validity in adaptive data analysis,arxiv Library,1.0,,0.8696951748600363,arxiv Library,1.0,,0.8973776177297097,0.4878048780487805,0.145985401459854,0.36585365853658536,0.234375
Differential privacy,crossref,0.0,,0.7019992385653937,,,,,1.0,0.0,,
Preventing false discovery in interactive data analysis is hard,arxiv Library,0.5,,0.8206942626518,arxiv Library,0.5,,0.8508587834369825,0.3026315789473684,0.17557251908396945,0.19736842105263158,0.21428571428571427
An examination of data confidentiality and disclosure issues related to publication of empirical roc curves,crossref,0.0,,0.7019992385653937,,,,,1.0,0.0,,
Differentially private algorithms for empirical machine learning,arxiv Library,1.0,,0.6491838864349951,arxiv Library,0.0,,0.6770142617636873,1.0,0.0,1.0,0.0
"Signal detection theory in the 2AFC paradigm: attention, channel uncertainty and probability summation",crossref,0.0,,0.7019992385653937,,,,,1.0,0.0,,
Exploiting an oracle that reports AUC scores in machine learning contests,arxiv Library,0.7,,0.8408084825589182,arxiv Library,0.7,,0.8989165920269472,0.336734693877551,0.358695652173913,0.3163265306122449,0.41333333333333333
Toward a better understanding of leaderboard,arxiv Library,0.5,,0.8669408078889328,arxiv Library,0.8,,0.8586761752273682,0.16883116883116883,0.18840579710144928,0.18181818181818182,0.18421052631578946
