,abstract,faithfulness,precision_recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,precision,recall,pdf-precision,pdf-recall
"Artificial Intelligence: A Modern Approach, 3rd edition",,,,,,,,,,,,
On The Naive Bayes Model for Text Categorization,,,,,,,,,,,,
Naive Bayes for Text Classification with Unbalanced Classes,crossref,0.0,,0.7019992385653937,,,,,1.0,0.0,,
Text Classification for Authorship Attribution Using Naive Bayes Classifier with Limited Training Data,,,,,,,,,,,,
Is Naı̈ve bayes a good classifier for document classification?,,,,,,,,,,,,
Fast and Accurate Sentiment Classification Using an Enhanced Naive Bayes Model,arxiv Library,0.8,,0.8486794638655617,arxiv Library,1.0,,0.8834109774321245,0.2727272727272727,0.1,0.36363636363636365,0.11267605633802817
Estimation of prediction error by using K-fold crossvalidation,,,,,,,,,,,,
RANDOM PERMUTATION TESTING IN MULTIPLE LINEAR REGRESSION,crossref,0.0,,0.6702609647382567,,,,,0.0,0.0,,
Recursive feature elimination with random forest for PTR-MS analysis of agroindustrial products,crossref,0.0,,0.6702609647382567,,,,,0.0,0.0,,
Introduction to Machine Learning,arxiv Library,0.5,,0.7065349091806399,arxiv Library,0.0,,0.7724818208082966,0.5,0.046153846153846156,0.6666666666666666,0.11267605633802817
"Can structural MRI aid in clinical classification? A machine learning study in two independent samples of patients with schizophrenia, bipolar disorder and healthy subjects",crossref,0.0,,0.6931681041641182,,,,,0.0,0.0,,
Using supervised learning to classify clothing brand styles,crossref,0.0,,0.6757959520971496,,,,,0.0,0.0,,
Sentiment Analysis on Unstructured Review,crossref,0.0,,0.6890717981757619,,,,,0.0,0.0,,
Automatic Indexing: An Experimental Inquiry,crossref,0.0,,0.6901186858317336,,,,,0.0,0.0,,
Machine learning for information extraction in informal domains,,,,,,,,,,,,
Naive Bayes Modeling with Proper Smoothing for Information Extraction,crossref,0.0,,0.6973435163360784,,,,,0.0,0.0,,
Medical Data Classification with Naive Bayes Approach,crossref,0.0,,0.6972106156383834,,,,,0.0,0.0,,
A lexicon pool augmented Naive Bayes Classifier for Nepali Text,crossref,0.0,,0.6799086734565011,,,,,0.0,0.0,,
An Effective Algorithm for Improving the Performance of Naive Bayes for Text Classification,crossref,0.0,,0.6763517298245283,,,,,0.0,0.0,,
Low Cost Portability for Statistical Machine Translation based on N-gram Frequency and TF-IDF,,,,,,,,,,,,
An Approach to Spam Detection by Naive Bayes Ensemble Based on Decision Induction,crossref,0.0,,0.6850279749586108,,,,,0.0,0.0,,
Learning Weighted Naive Bayes with Accurate Ranking,crossref,0.0,,0.6773482622226185,,,,,0.0,0.0,,
"Bug report, feature request, or simply praise? On automatically classifying app reviews",crossref,0.0,,0.6783911772146434,,,,,0.0,0.0,,
Numeric rating of Apps on Google Play Store by sentiment analysis on user reviews,crossref,0.0,,0.6870183704272207,,,,,0.0,0.0,,
"Comparing naive Bayes, decision trees, and SVM with AUC and accuracy",crossref,0.0,,0.7016064802722963,,,,,0.0,0.0,,
