,abstract,faithfulness,precision_recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,precision,recall,pdf-precision,pdf-recall
Freebase: A shared database of structured general human knowledge,,,,,,,,,,,,
Freebase: a collaboratively created graph database for structuring human knowledge,,,,,,,,,,,,
Matrix completion for multi-label image classification,,,,,,,,,,,,
Exact matrix completion via convex optimization,arxiv Library,1.0,,0.6379880039264384,arxiv Library,0.0,,0.6915282756967283,1.0,0.0,1.0,0.0
Foundations of Large-Scale Multimedia Information Management and Retrieval,crossref,0.0,,0.6987701337134091,,,,,0.0,0.0,,
A generalization of principal components analysis to the exponential family,,,,,,,,,,,,
Constructing biological knowledge bases by extracting information from text sources,,,,,,,,,,,,
A rank minimization heuristic with application to minimum order system,,,,,,,,,,,,
Transduction with matrix completion: Three birds with one stone,,,,,,,,,,,,
Convergence of fixed-point continuation algorithms for matrix rank minimization,crossref,0.0,,0.7019992385653937,,,,,1.0,0.0,,
Calculating the singular values and pseudo-inverse of a matrix,crossref,0.0,,0.7019992385653937,,,,,1.0,0.0,,
Knowledge-based weak supervision for information extraction of overlapping relations,,,,,,,,,,,,
Why the logistic function? a tutorial discussion on probabilities and neural networks. Computational Cognitive Science Technical Report,,,,,,,,,,,,
Factorization meets the neighborhood: a multifaceted collaborative filtering model,,,,,,,,,,,,
Fixed point and bregman iterative methods for matrix rank minimization,arxiv Library,0.0,,0.8445487540973378,arxiv Library,0.7,,0.8855477681707338,0.5714285714285714,0.15503875968992248,0.5142857142857142,0.2857142857142857
A framework for multiple-instance learning,,,,,,,,,,,,
Distant supervision for relation extraction with an incomplete knowledge base,,,,,,,,,,,,
Fast maximum margin matrix factorization for collaborative prediction,crossref,0.0,,0.6744303655286907,,,,,0.0,0.0,,
Modeling relations and their mentions without labeled text,crossref,0.0,,0.6834958033743213,,,,,0.0,0.0,,
Relation extraction with matrix factorization and universal schemas,,,,,,,,,,,,
Learning syntactic patterns for automatic hypernym discovery,,,,,,,,,,,,
Multi-instance multi-label learning for relation extraction,,,,,,,,,,,,
Reducing wrong labels in distant supervision for relation extraction,,,,,,,,,,,,
Filling knowledge base gaps for distant supervision of relation extraction,,,,,,,,,,,,
Towards accurate distant supervision for relational facts extraction,,,,,,,,,,,,
Exploring various knowledge in relation extraction,crossref,0.0,,0.6912438685815147,,,,,0.0,0.0,,
