,abstract,faithfulness,precision_recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,precision,recall,pdf-precision,pdf-recall
editors,,,,,,,,,,,,
Efficient Algorithms for Identifying Relevant Features,,,,,,,,,,,,
Brainwash: A Data System for Feature Engineering,,,,,,,,,,,,
SystemML: Declarative Machine Learning on Spark,,,,,,,,,,,,
Consistency based feature selection,,,,,,,,,,,,
Bias of importance measures for multi-valued attributes and solutions,crossref,0.0,,0.6719521299998437,,,,,0.0,0.0,,
Principles of Data Integration,crossref,0.0,,0.701113571030076,,,,,0.0,0.0,,
A Unified Bias-Variance Decomposition and its Applications,,,,,,,,,,,,
Big data integration,crossref,0.5,,0.803287658773011,,,,,0.2692307692307692,0.0625,,
Towards a Unified Architecture for in-RDBMS Analytics,crossref,0.0,,0.6792950094097463,,,,,0.0,0.0,,
Multiple feature fusion by subspace learning,crossref,0.0,,0.6667017195777424,,,,,0.0,0.0,,
Introduction to Statistical Relational Learning),,,,,,,,,,,,
Feature Extraction: Foundations and Applications,,,,,,,,,,,,
The Elements of Statistical Learning: Data mining,,,,,,,,,,,,
The MADlib Analytics Library or MAD Skills,,,,,,,,,,,,
Unbiased recursive partitioning: A conditional inference framework,crossref,0.0,,0.6827434778966276,,,,,0.0,0.0,,
Visual search at pinterest,arxiv Library,0.0,,0.7829605767350167,arxiv Library,0.0,,0.8165487665580689,0.15384615384615385,0.05555555555555555,0.23076923076923078,0.08108108108108109
Multisensor data fusion: A review of the state-of-the-art,crossref,0.0,,0.6667017195777424,,,,,0.0,0.0,,
Adam: A Method for Stochastic Optimization,arxiv Library,0.0,,0.8673803076660308,arxiv Library,0.8,,0.8772014927581945,0.47368421052631576,0.08823529411764706,0.47368421052631576,0.16071428571428573
Toward Optimal Feature Selection,,,,,,,,,,,,
Feature Selection in Enterprise Analytics: A Demonstration using an R-based Data Analytics System,,,,,,,,,,,,
MLbase: A Distributed Machine-learning System,,,,,,,,,,,,
Demonstration of Santoku: Optimizing Machine Learning over Normalized Data,,,,,,,,,,,,
Learning Generalized Linear Models Over Normalized Data,crossref,0.0,,0.6693272575534134,,,,,0.0,0.0,,
To Join or Not to Join? Thinking Twice about Joins before Feature Selection,,,,,,,,,,,,
Data Integration in Machine Learning,,,,,,,,,,,,
GraphLab: A New Framework For Parallel Machine Learning,arxiv Library,0.0,,0.783026282881381,arxiv Library,0.0,,0.810820057697647,0.2,0.023255813953488372,0.3,0.039473684210526314
Machine Learning,,,,,,,,,,,,
The Logic of Representing Dependencies by Directed Graphs,,,,,,,,,,,,
Data management challenges in production machine learning,crossref,0.0,,0.6944711903650831,,,,,0.0,0.0,,
Tree Induction for Probability-Based Ranking,,,,,,,,,,,,
Database Management Systems,crossref,0.0,,0.6669157609559648,,,,,0.0,0.0,,
Scaling Factorization Machines to Relational Data,crossref,0.5,,0.8050515285683266,,,,,0.16129032258064516,0.04504504504504504,,
Introducing CloudLab: Scientific Infrastructure for Advancing Cloud Architectures and Applications,,,,,,,,,,,,
Methods and Metrics for Cold-start Recommendations,crossref,0.0,,0.7116867150814747,,,,,0.0,0.0,,
Learning Linear Regression Models over Factorized Joins,crossref,0.0,,0.694933637175826,,,,,0.0,0.0,,
Machine Learning: The High Interest Credit Card of Technical Debt,,,,,,,,,,,,
Database Systems Concepts,,,,,,,,,,,,
A Novel Feature Selection Approach: Combining Feature Wrappers and Filters,crossref,0.0,,0.6891553321187831,,,,,0.0,0.0,,
Feature hashing for large scale multitask learning,arxiv Library,0.5,,0.776981717368519,arxiv Library,0.3,,0.8117347585477046,0.36363636363636365,0.08163265306122448,0.45454545454545453,0.07352941176470588
A Method for Implementing a Probabilistic Model as a Relational Database,arxiv Library,0.0,,0.7940181370376468,arxiv Library,0.0,,0.8324450789842075,0.3,0.10909090909090909,0.3,0.0967741935483871
Crossmine: Efficient classification across multiple database relations,crossref,0.0,,0.6798924157058132,,,,,0.0,0.0,,
Efficient Feature Selection via Analysis of Relevance and Redundancy,,,,,,,,,,,,
Understanding Deep Learning Requires Rethinking Generalization,arxiv Library,0.0,,0.8291972349170066,arxiv Library,0.0,,0.8549063660560343,0.3235294117647059,0.09401709401709402,0.35294117647058826,0.1643835616438356
I/O-Efficient Statistical Computing with RIOT,crossref,0.0,,0.6792950094097463,,,,,0.0,0.0,,
