,abstract,faithfulness,precision_recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,precision,recall
Semantic lexicon construction: Learning from unlabeled data via spectral analysis,,,,,,,,,,
Inter-coder agreement for computational linguistics,crossref,0.5,,0.8851306643571804,,,,,0.2,0.1016949152542373
Automatic expansion of domain-specific lexicons by term categorization,crossref,1.0,,0.6611902471997789,,,,,1.0,0.0
Distributional clustering of words for text classification,crossref,0.0,,0.6964983874709179,,,,,0.0,0.0
Mitigating the paucity-of-data problem: Exploring the effect of training corpus size on classifier performance for natural language processing,,,,,,,,,,
Web 1T 5-gram Version 1. Linguistic Data,,,,,,,,,,
From covariation to causation: A causal power theory,,,,,,,,,,
The statistical significance of the MUC-4 results,,,,,,,,,,
Evaluating message understanding systems: An analysis of the Third Message Understanding Conference (MUC-3),,,,,,,,,,
On the algorithmic implementation of multiclass kernelbased vector machines,,,,,,,,,,
Improvements in automatic thesaurus extraction,crossref,0.0,,0.6852233942895487,,,,,0.0,0.0
Minimising semantic drift with mutual exclusion bootstrapping,,,,,,,,,,
Efficient unsupervised discovery of word categories using symmetric patterns and high frequency words,crossref,0.0,,0.6944864276937907,,,,,0.0,0.0
Approximate statistical tests for comparing supervised classification learning algorithms,crossref,0.0,,0.867346396617024,,,,,0.4857142857142857,0.14166666666666666
Accurate methods for the statistics of surprise and coincidence,,,,,,,,,,
The Analysis of Contingency Tables,,,,,,,,,,
"What happened, and why: Toward an understanding of human error based on automated analyses of incident reports",,,,,,,,,,
"COATIS, an NLP system to locate expressions of actions connected by causality links",crossref,0.0,,0.660128646330733,,,,,0.0,0.0
Automatic detection of causal relations for question answering,crossref,0.0,,0.688858405609686,,,,,0.0,0.0
Discriminative methods for multi-labeled classification,crossref,0.0,,0.7019992385653937,,,,,1.0,0.0
Structure and strength in causal induction,,,,,,,,,,
Causal and temporal text analysis: The role of the domain model,,,,,,,,,,
Causes and explanations: A structural-model approach. Part I: Causes,crossref,0.0,,0.7019992385653937,,,,,1.0,0.0
Unsupervised information extraction approach using graph mutual reinforcement,crossref,0.0,,0.7019992385653937,,,,,1.0,0.0
Original work published 1748)),,,,,,,,,,
Original work published 1739)),,,,,,,,,,
"Advances in Kernel Methods - Support Vector Learning, chap",,,,,,,,,,
Text categorization with suport vector machines: Learning with many relevant features,,,,,,,,,,
Transductive inference for text classification using support vector machines,,,,,,,,,,
Knowledge-based acquisition of causal relationships in text,crossref,0.0,,0.7019992385653937,,,,,1.0,0.0
KSC-PaL: A peer learning agent that encourages students to take the initiative,,,,,,,,,,
Extracting causal knowledge from a medical database using graphical patterns,crossref,0.0,,0.7019992385653937,,,,,1.0,0.0
Improving text categorization using the importance of sentences,crossref,0.0,,0.7019992385653937,,,,,1.0,0.0
Content analysis: An introduction to its methodology,,,,,,,,,,
