,abstract,faithfulness,precision_recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,precision,recall,pdf-precision,pdf-recall
Joint language and translation modeling with recurrent neural networks,,,,,,,,,,,,
The principled design of large-scale recursive neural network architectures–DAG-RNNs and the protein structure prediction problem,,,,,,,,,,,,
METEOR: An automatic metric for MT evaluation with improved correlation with human judgments. In Proceedings of the acl workshop on intrinsic and extrinsic evaluation measures for machine translation and/or summarization,,,,,,,,,,,,
Evolving memory cell structures for sequence learning,crossref,0.0,,0.6892797569628026,,,,,0.0,0.0,,
Evolving networks: Using the genetic algorithm with connectionist learning,,,,,,,,,,,,
Advances in optimizing recurrent networks,arxiv Library,0.0,,0.835623763419508,arxiv Library,0.8,,0.8561547709350225,0.4666666666666667,0.12612612612612611,0.5666666666666667,0.2463768115942029
A neural probabilistic language model,,,,,,,,,,,,
Learning long-term dependencies with gradient descent is difficult,crossref,0.0,,0.6651790606381817,,,,,0.0,0.0,,
Theano: a CPU and GPU math expression compiler,,,,,,,,,,,,
Training a 3-node neural network is NP-complete,crossref,0.0,,0.6764709753758216,,,,,0.0,0.0,,
Lazy sparse stochastic gradient descent for regularized multinomial logistic regression,,,,,,,,,,,,
Torch7: A matlab-like environment for machine learning,,,,,,,,,,,,
Identifying and attacking the saddle point problem in high-dimensional non-convex optimization,,,,,,,,,,,,
A survey on the application of recurrent neural networks to statistical language modeling,crossref,0.0,,0.673802887422605,,,,,0.0,0.0,,
Adaptive subgradient methods for online learning and stochastic optimization,,,,,,,,,,,,
Finding structure in time,crossref,0.0,,0.6620623504353157,,,,,0.0,0.0,,
Long short-term memory in recurrent neural networks,,,,,,,,,,,,
Recurrent nets that time and count,crossref,0.0,,0.697554878227421,,,,,0.0,0.0,,
Learning to forget: Continual prediction with LSTM,crossref,0.0,,0.6804218797447303,,,,,0.0,0.0,,
Deep sparse rectifier networks,,,,,,,,,,,,
word2vec explained: deriving mikolov et al.’s negative-sampling word-embedding method,,,,,,,,,,,,
"Supervised sequence labelling with recurrent neural networks, volume 385",,,,,,,,,,,,
A novel connectionist system for unconstrained handwriting recognition,crossref,0.0,,0.7007851660502182,,,,,0.0,0.0,,
Framewise phoneme classification with bidirectional LSTM and other neural network architectures,crossref,0.0,,0.6908678130912005,,,,,0.0,0.0,,
Neural network synthesis using cellular encoding and the genetic algorithm,,,,,,,,,,,,
Optimizing neural networks with genetic algorithms,,,,,,,,,,,,
Long short-term memory,,,,,,,,,,,,
Neural networks and physical systems with emergent collective computational abilities,crossref,0.0,,0.6706438198651101,,,,,0.0,0.0,,
Serial order: A parallel distributed processing approach,crossref,0.0,,0.6852365130988902,,,,,0.0,0.0,,
Deep visual-semantic alignments for generating image descriptions,crossref,0.0,,0.6786260544356529,,,,,0.0,0.0,,
Imagenet classification with deep convolutional neural networks. In Advances in neural information processing,,,,,,,,,,,,
Sparse online learning via truncated gradient,arxiv Library,0.5,,0.8413444072325827,arxiv Library,0.6,,0.8311774524790057,0.3055555555555556,0.14473684210526316,0.3055555555555556,0.14864864864864866
Handwritten digit recognition with a backpropagation network. In Advances in neural information processing systems,,,,,,,,,,,,
Efficient elastic net regularization for sparse linear models,arxiv Library,0.5,,0.7983105486066752,arxiv Library,0.2,,0.8455402041227376,0.3055555555555556,0.10185185185185185,0.2777777777777778,0.11904761904761904
Optimal thresholding of classifiers to maximize F1 measure,crossref,0.0,,0.6765676521319479,,,,,0.0,0.0,,
A novel approach to on-line handwriting recognition based on bidirectional long short-term memory networks,,,,,,,,,,,,
Recurrent neural networks for noise reduction in robust ASR,crossref,0.0,,0.6809203379493585,,,,,0.0,0.0,,
Deep captioning with multimodal recurrent neural networks (m-RNN),arxiv Library,0.0,,0.8633124628949931,arxiv Library,0.0,,0.8779808093551065,0.35714285714285715,0.10309278350515463,0.32142857142857145,0.10227272727272728
Learning recurrent neural networks with hessian-free optimization,,,,,,,,,,,,
Efficient estimation of word representations in vector space,arxiv Library,0.0,,0.7099743424512917,arxiv Library,0.0,,0.7466904048223946,0.0,0.0,0.0,0.0
Rectified linear units improve restricted boltzmann machines,,,,,,,,,,,,
"BLEU: a method for automatic evaluation of machine translation. In Proceedings of the 40th annual meeting on association for computational linguistics, pages 311–318",,,,,,,,,,,,
On the difficulty of training recurrent neural networks,arxiv Library,0.5,,0.7202716496418052,arxiv Library,0.0,,0.7668545176726054,0.6,0.043478260869565216,0.2,0.014285714285714285
Gradient calculations for dynamic recurrent neural networks: A survey,crossref,0.0,,0.675420459373983,,,,,0.0,0.0,,
Glove: Global vectors for word representation,crossref,0.0,,0.6645661242124136,,,,,0.0,0.0,,
Learning internal representations by error propagation,crossref,0.0,,0.6956334663807009,,,,,0.0,0.0,,
Bidirectional recurrent neural networks,crossref,0.0,,0.6739908650050302,,,,,0.0,0.0,,
Turing computability with neural nets,crossref,0.0,,0.6799444093832305,,,,,0.0,0.0,,
