,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,pdf-precision,pdf-recall,precision_recall
The weighted majority algorithm,crossref,0.0,0.0,0.0,0.6801622305825601,,,,,,,
Asymptotically efficient adaptive allocation rules,crossref,0.0,0.0,0.0,0.6804550342742186,,,,,,,
The value of knowing a demand curve: Bounds on regret for online posted-price auctions,crossref,0.0,0.0,0.0,0.6788285166978434,,,,,,,
Optimal allocation strategies for the dark pool problem,arxiv Library,0.5,0.18421052631578946,0.1320754716981132,0.8080225337563631,arxiv Library,0.0,,0.8505058993812831,0.3157894736842105,0.17647058823529413,
Minimizing regret with label efficient prediction,crossref,0.0,0.0,0.0,0.6789997480031668,,,,,,,
Online convex programming and generalized infinitesimal gradient ascent,,,,,,,,,,,,
Stochastic linear optimization under bandit feedback,,,,,,,,,,,,
Discrete prediction games with arbitrary feedback and loss,,,,,,,,,,,,
Regret minimization under partial monitoring,crossref,0.0,0.35,0.11290322580645161,0.7666323658001959,,,,,,,
Minimax regret of finite partial-monitoring games in stochastic environments,,,,,,,,,,,,
An adaptive algorithm for finite stochastic partial monitoring,arxiv Library,0.0,0.2553191489361702,0.17647058823529413,0.8783415507431057,arxiv Library,0.6,,0.9071078577857423,0.3191489361702128,0.2,
A near-optimal algorithm for finite partial-monitoring games against adversarial opponents,,,,,,,,,,,,
Efficient partial monitoring with prior information,,,,,,,,,,,,
Finite-time Analysis of the Multiarmed Bandit Problem,,,,,,,,,,,,
The KL-UCB algorithm for bounded stochastic bandits and beyond,,,,,,,,,,,,
Large deviations techniques and applications,crossref,0.0,0.0,0.0,0.6796582365403401,,,,,,,
An Asymptotically Optimal Bandit Algorithm for Bounded Support Models,,,,,,,,,,,,
A dual parametrization method for convex semi-infinite programming,,,,,,,,,,,,
Introduction to sensitivity and stability analysis in nonlinear programming,crossref,0.0,0.0,0.0,0.7176181552210822,,,,,,,
Asymptotically efficient adaptive choice of control laws in controlled Markov chains,,,,,,,,,,,,
On the complexity of A/B testing,arxiv Library,0.5,0.125,0.012987012987012988,0.6734978088225799,arxiv Library,0.5,,0.7930318356524617,0.75,0.07228915662650602,
Bandits Games and Clustering Foundations,,,,,,,,,,,,
Point-to-set maps in mathematical programming,crossref,0.0,0.0,0.0,0.6823847029301293,,,,,,,
