,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,pdf-precision,pdf-recall,precision_recall
Real-time small obstacle detection on highways using compressive rbm road reconstruction,crossref,0.0,0.0,0.0,0.6843935577149223,,,,,,,
Describing objects by their attributes,crossref,0.0,0.0,0.0,0.6842479899121149,,,,,,,
Night vision animal detection,crossref,0.0,0.0,0.0,0.6753162923208869,,,,,,,
Medical image denoising using convolutional denoising autoencoders,arxiv Library,1.0,0.5,0.08235294117647059,0.8372429701629609,arxiv Library,0.0,,0.8577965492892994,0.35714285714285715,0.07462686567164178,
"A Practical Guide to Training Restricted Boltzmann Machines, pages 599–619",,,,,,,,,,,,
Adam: A method for stochastic optimization,arxiv Library,0.5,0.4375,0.06862745098039216,0.8007413765095606,arxiv Library,0.0,,0.8372046116425709,0.5,0.11940298507462686,
Learning multiple layers of features from tiny images,,,,,,,,,,,,
Imagenet classification with deep convolutional neural networks,crossref,0.0,0.34615384615384615,0.08490566037735849,0.8086886423623406,,,,,,,
Detecting anomalous objects on mobile platforms,crossref,0.0,0.0,0.0,0.6949996631028683,,,,,,,
Spatio-temporal anomaly detection for industrial robots through prediction in unsupervised feature space,crossref,0.0,0.0,0.0,0.6753162923208869,,,,,,,
Anomaly detection using autoencoders with nonlinear dimensionality reduction,crossref,0.0,0.0,0.0,0.6783791073235487,,,,,,,
Object-centric anomaly detection by attribute-based reasoning,crossref,0.0,0.0,0.0,0.7081073914960723,,,,,,,
Wind noise reduction using non-negative sparse coding,crossref,0.0,0.0,0.0,0.6951669109830251,,,,,,,
Extracting and composing robust features with denoising autoencoders,crossref,0.0,0.0,0.0,0.6783791073235487,,,,,,,
Stacked denoising autoencoders: Learning  useful representations in a deep network with a local denoising criterion,,,,,,,,,,,,
Learning deep representations of appearance and motion for anomalous event detection,arxiv Library,1.0,0.7391304347826086,0.1717171717171717,0.8608344941807904,arxiv Library,0.5,,0.9106743177862147,0.4782608695652174,0.1774193548387097,
