,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision,pdf-recall,pdf-semantic_similarity,precision_recall,pdf-precision_recall
Deep generative stochastic networks trainable by backprop,arxiv Library,0.2,0.23423423423423423,0.1925925925925926,0.8261503483915791,arxiv Library,0.0,0.15315315315315314,0.2236842105263158,0.8492402940208074,,
"Digital images and human vision. chapter The Visible Differences Predictor: An Algorithm for the Assessment of Image Fidelity, pp. 179–206",,,,,,,,,,,,
ImageNet: A Large-Scale Hierarchical Image Database,crossref,0.0,0.0,0.0,0.659136605260969,,,,,,,
Deep Generative Image Models using a Laplacian Pyramid of Adversarial Networks,arxiv Library,0.8,0.34782608695652173,0.10256410256410256,0.8209804602389053,arxiv Library,0.75,0.30434782608695654,0.11290322580645161,0.8458660998642779,,
Discriminative unsupervised feature learning with exemplar convolutional neural networks,arxiv Library,0.0,0.21739130434782608,0.04,0.8005186239729589,arxiv Library,0.0,0.391304347826087,0.13846153846153847,0.8085229112123646,,
Inverting visual representations with convolutional networks,arxiv Library,1.0,1.0,0.0,0.6580460064711837,arxiv Library,0.0,1.0,0.0,0.6799358483108804,,
Learning to generate chairs with convolutional neural networks,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
A neural algorithm of artistic style,arxiv Library,0.5,0.3181818181818182,0.13333333333333333,0.807350547349308,arxiv Library,0.5,0.2727272727272727,0.17647058823529413,0.8300675241565922,,
Generative adversarial nets,crossref,0.0,0.0,0.0,0.6752080913173648,,,,,,,
DRAW: A recurrent neural network for image generation,arxiv Library,0.5,0.25,0.09375,0.8155276395594621,arxiv Library,0.2,0.3333333333333333,0.12698412698412698,0.8441113699321853,,
Reducing the dimensionality of data with neural,,,,,,,,,,,,
"Learning and relearning in boltzmann machines. In Parallel Distributed Processing: Volume 1: Foundations, pp. 282–317",,,,,,,,,,,,
A fast learning algorithm for deep belief nets,crossref,0.5,0.24,0.05357142857142857,0.7996219443706056,,,,,,,
Caffe: Convolutional architecture for fast feature embedding,arxiv Library,1.0,0.4166666666666667,0.046296296296296294,0.8387046339209595,arxiv Library,0.5,0.4166666666666667,0.058823529411764705,0.83062440328485,,
Adam: A method for stochastic optimization,arxiv Library,0.0,1.0,0.0,0.6448025889274219,arxiv Library,0.0,1.0,0.0,0.6809795911207228,,
Semi-supervised learning with deep generative models,,,,,,,,,,,,
ImageNet classification with deep convolutional neural networks,crossref,0.5,0.6470588235294118,0.10377358490566038,0.8458619012371746,,,,,,,
Autoencoding beyond pixels using a learned similarity,,,,,,,,,,,,
Convolutional deep belief networks for scalable unsupervised learning of hierarchical representations,crossref,0.0,0.0,0.0,0.6823228429318438,,,,,,,
Understanding deep image representations by inverting them,arxiv Library,1.0,1.0,0.0,0.65868301692478,arxiv Library,0.2,1.0,0.0,0.674800731025034,,
Deep multiscale video prediction beyond mean square error,,,,,,,,,,,,
Conditional generative adversarial nets,arxiv Library,0.5,1.0,0.0,0.6575925012022135,arxiv Library,0.0,1.0,0.0,0.6803210133042382,,
Unsupervised Representation Learning with Deep Convolutional Generative Adversarial Networks,arxiv Library,1.0,1.0,0.0,0.6552709680528923,arxiv Library,0.0,1.0,0.0,0.702052903534802,,
Learning to generate images with perceptual similarity,,,,,,,,,,,,
Deep boltzmann machines,,,,,,,,,,,,
Deep inside convolutional networks: Visualising image classification models and saliency maps,arxiv Library,0.0,0.43478260869565216,0.136986301369863,0.8043983299415667,arxiv Library,0.0,0.30434782608695654,0.10144927536231885,0.82750246813034,,
Information processing in dynamical systems: Foundations of harmony theory,,,,,,,,,,,,
Perceptual quality measure using a spatio-temporal model of the human visual system,,,,,,,,,,,,
Extracting and composing robust features with denoising autoencoders,crossref,0.0,0.0,0.0,0.6806975809671397,,,,,,,
Unsupervised learning of visual representations using videos,arxiv Library,1.0,1.0,0.0,0.6558295335819698,arxiv Library,0.5,1.0,0.0,0.6969527583789809,,
Image quality assessment: From error visibility to structural similarity,crossref,0.0,0.0,0.0,0.6561389338175778,,,,,,,
A perceptual distortion metric for digital color images,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Understanding neural networks through deep visualization,arxiv Library,1.0,1.0,0.0,0.6574322687903094,arxiv Library,0.0,1.0,0.0,0.699040953488361,,
