,abstract,faithfulness,precision_recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,precision,recall,pdf-precision,pdf-recall
A probabilistic interpretation of canonical correlation analysis,,,,,,,,,,,,
"Modeling covariance matrices in terms of standard deviations and correlations, with application to shrinkage",,,,,,,,,,,,
GOrilla: a tool for discovery and visualization of enriched go terms in ranked gene,,,,,,,,,,,,
A Bayesian analysis of some nonparametric problems,crossref,0.0,,0.6619323859179883,,,,,0.0,0.0,,
Correlation clustering for learning mixture of canonical correlation models,,,,,,,,,,,,
Genomic expression programs in the response of yeast cells to environmental changes,crossref,0.0,,0.8093537923421152,,,,,0.3333333333333333,0.05454545454545454,,
Transcriptional regulatory code of a eukaryotic,,,,,,,,,,,,
Extending the rank likelihood for semiparametric copula estimation,arxiv Library,1.0,,0.6504122746797419,,,,,1.0,0.0,,
Yeast Stress Responses,crossref,0.0,,0.7019992385653937,,,,,1.0,0.0,,
Local dependent components,crossref,0.0,,0.7019992385653937,,,,,1.0,0.0,,
Probabilistic approach to detecting dependencies between data,,,,,,,,,,,,
Bayesian exponential family projections for coupled data sources,arxiv Library,1.0,,0.855118742896865,arxiv Library,0.7,,0.8643549091181083,0.2647058823529412,0.10975609756097561,0.38235294117647056,0.16883116883116883
Quantitative Risk Management,crossref,0.0,,0.6771404952421389,,,,,0.0,0.0,,
Markov chain sampling methods for Dirichlet process mixture models,crossref,0.0,,0.6721008246063891,,,,,0.0,0.0,,
Dirichlet process Gaussian mixture models: Choice of the base distribution,crossref,0.0,,0.7019992385653937,,,,,1.0,0.0,,
Fonctions de répartition à n dimensions et leurs marges,,,,,,,,,,,,
Variational Bayesian mixture of robust CCA models. Principles of Data Mining and Knowledge Discovery,,,,,,,,,,,,
CCMtools: Clustering through ”Correlation Clustering Model,,,,,,,,,,,,
