,abstract,faithfulness,precision_recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,precision,recall,pdf-precision,pdf-recall
Floresta sintá (c) tica”: a treebank for portuguese,,,,,,,,,,,,
Speedread: A fast named entity recognition pipeline,arxiv Library,0.7,,0.8374739617504559,arxiv Library,0.5,,0.8581179913595167,0.45,0.11688311688311688,0.45,0.140625
Prague Dependency Treebank 2.5 – a revisited version of PDT 2.0,,,,,,,,,,,,
Adaptive importance sampling to accelerate training of a neural probabilistic language model,crossref,0.0,,0.6800877461027124,,,,,0.0,0.0,,
Neural probabilistic language models,crossref,0.0,,0.6908735883335715,,,,,0.0,0.0,,
Curriculum learning,crossref,0.0,,0.7038225904863302,,,,,0.0,0.0,,
Theano: a CPU and GPU math expression compiler,,,,,,,,,,,,
Domain adaptation with structural correspondence learning,crossref,0.0,,0.720300891882753,,,,,0.0,0.0,,
Stochastic gradient learning in neural networks,,,,,,,,,,,,
The tiger treebank,,,,,,,,,,,,
Tnt: a statistical part-ofspeech tagger,,,,,,,,,,,,
Class-based n-gram models of natural language,,,,,,,,,,,,
Marginalized denoising autoencoders for domain adaptation,arxiv Library,1.0,,0.784960759251495,arxiv Library,0.8,,0.8454673050054455,0.36666666666666664,0.10091743119266056,0.4,0.18181818181818182
"The expressive power of word embeddings. CoRR, abs/1301.3226",,,,,,,,,,,,
A unified architecture for natural language processing: Deep neural networks with multitask learning,,,,,,,,,,,,
Natural language processing (almost) from scratch,arxiv Library,0.3,,0.8071429601178823,arxiv Library,0.7,,0.8854331961644166,0.32558139534883723,0.1686746987951807,0.4186046511627907,0.23076923076923078
Deep learning for efficient discriminative parsing,,,,,,,,,,,,
Large scale distributed deep networks,,,,,,,,,,,,
Towards a slovene dependency treebank,,,,,,,,,,,,
Domain adaptation for large-scale sentiment classification: A deep learning approach,,,,,,,,,,,,
Inducing crosslingual distributed representations of words,,,,,,,,,,,,
Simple semi-supervised dependency parsing,,,,,,,,,,,,
The danish dependency treebank and the dtag treebank tool,,,,,,,,,,,,
Building a large annotated corpus of english: The penn treebank,crossref,0.0,,0.7396153665671746,,,,,0.0,0.0,,
Recurrent neural network based language model,crossref,0.0,,0.6952808935993585,,,,,0.0,0.0,,
A scalable hierarchical distributed language model,,,,,,,,,,,,
Hierarchical probabilistic neural network language model,,,,,,,,,,,,
Babelnet: Building a very large multilingual semantic network,,,,,,,,,,,,
Talbanken05: A swedish treebank with phrase structure and dependency annotation,,,,,,,,,,,,
The CoNLL 2007 shared task on dependency parsing,,,,,,,,,,,,
A universal part-of-speech tagset,,,,,,,,,,,,
CoNLL2012 shared task: Modeling multilingual unrestricted coreference in OntoNotes,,,,,,,,,,,,
Learning representations by backpropagating errors,,,,,,,,,,,,
The Contemporary Chinese Dic,,,,,,,,,,,,
