,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,precision_recall,pdf-precision,pdf-recall
The impact of input: language acquisition in the visually impaired,crossref,1.0,1.0,0.0,0.6781843560844804,,,,,,,
Using Dynamic Time Warping to Find Patterns in Time,,,,,,,,,,,,
High-performance ocr for printed english and fraktur using lstm networks,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Scene labeling with lstm recurrent neural networks,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Shape and the first hundred nouns,crossref,0.0,0.25,0.024691358024691357,0.7140636323478863,,,,,,,
Connectionist temporal classification,crossref,0.0,0.0,0.0,0.6925409723576009,,,,,,,
The symbol grounding problem,arxiv Library,1.0,0.3125,0.05434782608695652,0.808286772522986,,,,,,,
The Vanishing Gradient Problem During Learning Recurrent Neural Nets and Problem Solutions,,,,,,,,,,,,
Long Short-Term Memory,,,,,,,,,,,,
Deep fragment embeddings for bidirectional image sentence mapping,arxiv Library,0.0,0.10344827586206896,0.03571428571428571,0.7980339702061555,arxiv Library,0.0,,0.8325375923551261,,0.10344827586206896,0.0410958904109589
Grounding of word meanings in latent dirichlet allocation-based multimodal concepts,crossref,0.0,0.0,0.0,0.6758261981698988,,,,,,,
Protocols from perceptual observations,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Columbia object image library (coil-100),,,,,,,,,,,,
A tutorial on hidden markov models and selected applications in speech recognition,crossref,0.0,0.0,0.0,0.6507444472325882,,,,,,,
Symbol Grounding in Multimodal Sequences using Recurrent Neural Network,,,,,,,,,,,,
Improved multimodal deep learning with variation of information,,,,,,,,,,,,
Looking without listening: is audition a prerequisite for normal development of visual attention during infancy,,,,,,,,,,,,
Multimodal learning with deep boltzmann machines,,,,,,,,,,,,
"The symbol grounding problem has been solved, so whats next ?. Symbols, Embodiment and Meaning",,,,,,,,,,,,
Sequence to sequence learning with neural networks. In Advances in neural information processing,,,,,,,,,,,,
Show and tell: A neural image caption generator,arxiv Library,0.0,1.0,0.0,0.6706785440707241,arxiv Library,0.0,,0.7038278959303886,,1.0,0.0
Backpropagation through time: what it does and how to do it,crossref,0.0,0.0,0.0,0.6655474163638128,,,,,,,
A multimodal learning interface for grounding spoken language in sensory perceptions,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
