,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,precision_recall
"Cardiac arrhythmia: mechanisms, diagnosis, and management",crossref,0.0,0.0,0.0,0.6628159349846284,,,,,
The ECG: a two-step approach to diagnosis,,,,,,,,,,
"The prognostic significance of ventricular premature contractions in healthy people and in people with coronary heart disease., Acta cardiologica",,,,,,,,,,
"Treating patients with ventricular ectopic beats, Heart",,,,,,,,,,
"How mobile devices are transforming healthcare, Issues in technology innovation",,,,,,,,,,
The Fortune at the Bottom of the Pyramid,,,,,,,,,,
Frugal engineering: An emerging innovation paradigm,,,,,,,,,,
"A patientadaptable ecg beat classifier using a mixture of experts approach, IEEE transactions on biomedical engineering",,,,,,,,,,
A patient-adapting heartbeat classifier using ecg morphology and heartbeat interval features,crossref,0.0,0.0,0.0,0.689646368130798,,,,,
Classification of electrocardiogram signals with support vector machines and particle swarm optimization,crossref,0.0,0.0,0.0,0.6816992259436493,,,,,
Block-based neural networks for personalized ecg signal classification,crossref,0.0,0.0,0.0,0.6908937558011312,,,,,
Automated patientspecific classification of premature ventricular contractions,,,,,,,,,,
"Heartbeat classification using disease-specific feature selection, Computers in biology and medicine",,,,,,,,,,
"Comparison of four methods for premature ventricular contraction and normal beat clustering, in: Computers in Cardiology",,,,,,,,,,
A 2-d ecg compression method based on wavelet transform and modified spiht,crossref,0.0,0.0,0.0,0.656153409608838,,,,,
Ecg signal compression using analysis by synthesis coding,crossref,0.0,0.0,0.0,0.6696822755010539,,,,,
An ecg signals compression method and its validation using nns,crossref,0.0,0.0,0.0,0.6562509255647465,,,,,
Ecg compression retaining the best natural basis k-coefficients via sparse decomposition,crossref,0.0,0.0,0.0,0.6616134433032532,,,,,
"Optimality of klt for high-rate transform coding of gaussian vector-scale mixtures: Application to reconstruction, estimation, and classification",crossref,0.0,0.0,0.0,0.7086907357151198,,,,,
"Coronary Heart Disease: Clinical, Pathological, Imaging, and Molecular Profiles",,,,,,,,,,
"Premature ventricular contraction-induced cardiomyopathy a treatable condition, Circulation: Arrhythmia and Electrophysiology",,,,,,,,,,
"Prognostic significance of frequent premature ventricular contractions originating from the ventricular outflow tract in patients with normal left ventricular function, Heart",,,,,,,,,,
"Relationship between burden of premature ventricular complexes and left ventricular function, Heart Rhythm",,,,,,,,,,
"Pervasive healthcare and wireless health monitoring, Mobile Networks and Applications",,,,,,,,,,
"We-care: an intelligent mobile telecardiology system to enable mhealth applications, IEEE journal of biomedical and health informatics",,,,,,,,,,
"A lossless ecg data compression technique using ascii character encoding, Computers & Electrical Engineering",,,,,,,,,,
"Esc guidelines for the management of acute myocardial infarction in patients presenting with st-segment elevation, European heart journal (2012) ehs215",,,,,,,,,,
"Private initiatives and policy options: recent health system experience in india, Health policy and planning",,,,,,,,,,
"Saberwal, In ehealth in india today, the nature of work, the challenges and the finances: an interview-based study, BMC medical informatics and decision making",,,,,,,,,,
"Physiobank, physiotoolkit, and physionet components of a new research resource for complex physiologic signals, Circulation",,,,,,,,,,
On the problem of the most efficient tests of statistical hypotheses,crossref,0.0,0.0,0.0,0.6689143825991724,,,,,
Bioelectrical signal processing,,,,,,,,,,
The weighted diagnostic distortion (wdd) measure for ecg signal compression,crossref,0.0,0.0,0.0,0.6553407081318636,,,,,
"Sparse and Redundant Representations: From Theory to Applications in Signal and Image Processing, 1st Edition",,,,,,,,,,
"Efficient implementation of the k-svd algorithm using batch orthogonal matching pursuit, CS Technion",,,,,,,,,,
"K-svd: An algorithm for designing overcomplete dictionaries for sparse representation, IEEE Transactions on signal processing",,,,,,,,,,
Heartbeat classification using morphological and dynamic features of ecg signals,crossref,0.0,0.0,0.0,0.6921615654840476,,,,,
Reliable low-cost telecardiology: High-sensitivity detection of ventricular beats using dictionaries,crossref,0.0,0.0,0.0,0.6715932260847365,,,,,
"A survey of cross-validation procedures for model selection, Statistics surveys",,,,,,,,,,
"Asymptomatic arrhythmias in patients with symptomatic paroxysmal atrial fibrillation and paroxysmal supraventricular tachycardia., Circulation",,,,,,,,,,
Online dictionary learning for sparse coding,crossref,0.0,0.0,0.0,0.6694305762729063,,,,,
