,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision,pdf-recall,pdf-semantic_similarity,precision_recall,pdf-precision_recall
Model selection through sparse maximum likelihood estimation,arxiv Library,0.5,0.25806451612903225,0.07339449541284404,0.8011041956984902,arxiv Library,0.3,0.22580645161290322,0.09210526315789473,0.8383378172776075,,
A fast iterative shrinkagethresholding algorithm for linear inverse problems,,,,,,,,,,,,
"Incremental gradient, subgradient, and proximal methods for convex optimization: a survey",arxiv Library,0.5,0.19047619047619047,0.05194805194805195,0.8053128742136035,arxiv Library,0.5,0.2857142857142857,0.08108108108108109,0.8487856401034796,,
Sparse estimation of a covariance matrix,,,,,,,,,,,,
Predicting protein– protein interactions from primary,,,,,,,,,,,,
A singular value thresholding algorithm for matrix completion,arxiv Library,0.5,0.3103448275862069,0.05625,0.8196562936647948,arxiv Library,0.8,0.3793103448275862,0.16417910447761194,0.85710498211623,,
Robust principal component analysis,crossref,0.0,0.0,0.0,0.6740181450809851,,,,,,,
Rank-sparsity incoherence for matrix decomposition,crossref,0.0,0.0,0.0,0.7123813995654651,,,,,,,
Proximal splitting methods in signal processing. Fixed-Point Algorithms for Inverse Problems,,,,,,,,,,,,
A direct formulation for sparse pca using semidefinite programming,arxiv Library,1.0,0.3125,0.07352941176470588,0.7810095394942954,,,,,,,
Operator norm consistent estimation of large-dimensional sparse covariance matrices,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Sparse inverse covariance estimation with the graphical lasso,crossref,0.5,0.2459016393442623,0.22058823529411764,0.8395826796897761,,,,,,,
Sparse approximate solutions to semidefinite programs,crossref,0.0,0.0,0.0,0.6973642737205059,,,,,,,
Non-negative Matrix Factorization with Sparseness Constraints,,,,,,,,,,,,
Global functional atlas of escherichia coli encompassing previously uncharacterized proteins,crossref,0.0,0.0,0.0,0.6886355119777512,,,,,,,
Convex optimization without projection steps,arxiv Library,0.7,0.4,0.06993006993006994,0.7819742579317116,arxiv Library,0.0,0.2,0.07246376811594203,0.8597253890194473,,
Clustering partially observed graphs via convex optimization,arxiv Library,0.0,0.2727272727272727,0.05128205128205128,0.7904819017556302,arxiv Library,0.3,0.2727272727272727,0.08823529411764706,0.827920901608688,,
Sparse nonnegative matrix factorization for clustering,,,,,,,,,,,,
Nuclear norm penalization and optimal rates for noisy matrix completion,,,,,,,,,,,,
Learning the parts of objects by non-negative matrix factorization,crossref,0.0,0.0,0.0,0.6865378192526823,,,,,,,
The link-prediction problem for social networks,,,,,,,,,,,,
High dimensional low rank and sparse covariance matrix estimation via convex minimization,,,,,,,,,,,,
A multivariate tchebycheff inequality,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Generalized forward-backward splitting,,,,,,,,,,,,
Link discovery using graph feature tracking,,,,,,,,,,,,
Learning with matrix factorizations,,,,,,,,,,,,
Maximummargin matrix factorization,,,,,,,,,,,,
Regression shrinkage and selection via the lasso,crossref,1.0,0.2222222222222222,0.047058823529411764,0.793615750930131,,,,,,,
Model selection and estimation in regression with grouped variables,crossref,1.0,1.0,0.0,0.6564879322027943,,,,,,,
Sparse principal component analysis,crossref,0.0,0.0,0.0,0.6578501249766745,,,,,,,
Regularization and variable selection via the elastic net,crossref,1.0,1.0,0.0,0.650900000353444,,,,,,,
