,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision,pdf-recall,pdf-semantic_similarity,precision_recall,pdf-precision_recall
Bayesian posterior sampling via stochastic gradient Fisher scoring,arxiv Library,0.3,0.12550607287449392,0.3780487804878049,0.8127896810934799,arxiv Library,0.8,0.1417004048582996,0.4430379746835443,0.8414768447437445,,
Functional Analysis. Academic Press textbooks in mathematics,,,,,,,,,,,,
Integration of radial functions,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Stein’s method and Poisson process convergence,,,,,,,,,,,,
Stein’s method for diffusion approximations,,,,,,,,,,,,
A consistent test for multivariate normality based on the empirical characteristic function,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Julia: A fresh approach to numerical computing,arxiv Library,0.0,0.2777777777777778,0.04424778761061947,0.7790893569450476,arxiv Library,0.0,0.16666666666666666,0.036585365853658534,0.8457978753307857,,
Handbook of Markov chain Monte Carlo,crossref,0.0,0.0,0.0,0.6661681593482475,,,,,,,
Vector valued reproducing kernel hilbert spaces and universality,arxiv Library,0.0,0.06806282722513089,0.3611111111111111,0.8160295550900443,arxiv Library,0.0,0.11518324607329843,0.3384615384615385,0.8761492466876438,,
Nonnormal approximation by Stein’s method of exchangeable pairs with application to the Curie-Weiss model,,,,,,,,,,,,
Normal approximation by Stein’s method. Probability and its Applications,,,,,,,,,,,,
A kernel test of goodness of fit,arxiv Library,0.9,1.0,0.0,0.6437838220411688,arxiv Library,0.0,1.0,0.0,0.6800453107886996,,
Approximate slice sampling for Bayesian posterior inference,,,,,,,,,,,,
Reflection couplings and contraction rates for diffusions,arxiv Library,0.0,0.0,0.0,0.8085201784147955,arxiv Library,0.0,0.1111111111111111,0.013888888888888888,0.8245346531226179,,
Output assessment for Monte Carlo simulations via the score statistic,crossref,0.0,0.0,0.0,0.674170762340987,,,,,,,
Kernel measures of conditional dependence,,,,,,,,,,,,
Markov chain Monte Carlo maximum likelihood,,,,,,,,,,,,
Measuring sample quality with Stein’s method,,,,,,,,,,,,
Measuring sample quality with diffusions,arxiv Library,0.5,0.3170731707317073,0.24074074074074073,0.8910006474666674,arxiv Library,0.7,0.34146341463414637,0.4117647058823529,0.9224998506514781,,
On the rate of convergence in the multivariate CLT,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
A kernel two-sample test,,,,,,,,,,,,
"The Plancherel formula, the Plancherel theorem, and the Fourier transform of orbital integrals",arxiv Library,0.0,1.0,0.0,0.6617900646129301,arxiv Library,0.0,1.0,0.0,0.68618144056947,,
Austerity in MCMC land: Cutting the Metropolis-Hastings budget,,,,,,,,,,,,
Stein’s method for comparison of univariate distributions,crossref,0.0,0.0,0.0,0.6794581343570342,,,,,,,
Two methods for wild variational inference,arxiv Library,1.0,1.0,0.0,0.6512873278684079,arxiv Library,0.5,1.0,0.0,0.6767817553660642,,
Variational Gradient Descent: A General Purpose,,,,,,,,,,,,
A kernelized Stein discrepancy for goodness-of-fit tests,,,,,,,,,,,,
Multivariate Stein factors for a class of strongly log-concave distributions,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Integral probability metrics and their generating classes of functions,crossref,0.5,0.18181818181818182,0.32653061224489793,0.8611038887364981,,,,,,,
Control functionals for QuasiMonte Carlo integration,,,,,,,,,,,,
Convergence rates for a class of estimators based on steins method,,,,,,,,,,,,
Control functionals for Monte Carlo integration,arxiv Library,1.0,1.0,0.0,0.6503615029884582,arxiv Library,0.0,1.0,0.0,0.6932746190871922,,
Operator variational inference,arxiv Library,1.0,1.0,0.0,0.6528703509843329,arxiv Library,0.0,1.0,0.0,0.683493612588995,,
"Kernel distribution embeddings: Universal kernels, characteristic kernels and kernel metrics on distributions",arxiv Library,1.0,1.0,0.0,0.6565661075530964,arxiv Library,0.0,1.0,0.0,0.6843383050674863,,
On the optimal estimation of probability measures in weak and strong,,,,,,,,,,,,
Hilbert space embeddings and metrics on probability measures,arxiv Library,1.0,1.0,0.0,0.6405601789269121,arxiv Library,0.0,1.0,0.0,0.7018088534795178,,
A bound for the error in the normal approximation to the distribution of a sum of dependent random variables,,,,,,,,,,,,
"Use of exchangeable pairs in the analysis of simulations. In Stein’s method: expository lectures and applications, volume 46 of IMS Lecture Notes Monogr",,,,,,,,,,,,
"Positive definite functions and generalizations, an historical survey",crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Calculation of the Wasserstein distance between probability distributions on the line,crossref,0.0,0.0,0.0,0.6726193470690393,,,,,,,
High-dimensional statistics: A non-asymptotic viewpoint. 2017. URL http: //www.stat.berkeley.edu/ ̃wainwrig/ nachdiplom/Chap5_Sep10_2015.pdf,,,,,,,,,,,,
Learning to Draw Samples: With Application to Amortized MLE for Generative Adversarial Learning,arxiv Library,1.0,1.0,0.0,0.636111512316766,arxiv Library,0.0,1.0,0.0,0.6806153190470191,,
Bayesian learning via stochastic gradient Langevin dynamics,,,,,,,,,,,,
"Scattered data approximation, volume 17",,,,,,,,,,,,
"Proof of Proposition 2: KSD closed form Our proof generalizes that of (Chwialkowski et al., 2016",,,,,,,,,,,,
"x)kb(x, y) and ∇r(x) = −xr(x). Thus for any x, by (Steinwart & Christmann, 2008, Corollary 4.36) we have ‖∇h(x)‖2 ≤ Kk̃b 〈∇x,∇yk̃b(x",,,,,,,,,,,,
"When bounds on R and F are known, the final expression can be optimized over and δ to produce rates of convergence in dBL‖·‖2 . Consider now a sequence of probability measures (μm)m≥1 that is uniformly tight. This implies that lim supmR(μm, ) < ∞ for all",,,,,,,,,,,,
"Taking → 0 yields dBL‖·‖2 (μm, P )→",,,,,,,,,,,,
