,abstract,faithfulness,precision_recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,precision,recall,pdf-precision,pdf-recall
"A Wavelet Tour of Signal Processing: The Sparse Way, 3rd ed",,,,,,,,,,,,
From sparse solutions of systems of equations to sparse modeling of signals and images,crossref,0.0,,0.6553193685723582,,,,,0.0,0.0,,
Sparse and redundant representations: from theory to applications in signal and image processing,,,,,,,,,,,,
The cosparse analysis model and algorithms,arxiv Library,0.5,,0.8080479374754564,arxiv Library,0.7,,0.8864670448665477,0.23076923076923078,0.10465116279069768,0.3333333333333333,0.18309859154929578
Dictionaries for sparse representation modeling,crossref,0.0,,0.6553193685723582,,,,,0.0,0.0,,
Dictionary learning,crossref,0.0,,0.6693519452178012,,,,,0.0,0.0,,
Gradient pursuits,crossref,0.0,,0.6693519452178012,,,,,0.0,0.0,,
Blind source separation by sparse decomposition in a signal dictionary,crossref,0.0,,0.6693519452178012,,,,,0.0,0.0,,
Underdetermined blind source separation using sparse representations,crossref,0.0,,0.6693519452178012,,,,,0.0,0.0,,
Compressed sensing,crossref,0.0,,0.6693519452178012,,,,,0.0,0.0,,
Towards a mathematical theory of super-resolution,,,,,,,,,,,,
Supervised dictionary learning,arxiv Library,0.7,,0.8579241519984849,arxiv Library,0.5,,0.8631591312196886,0.3333333333333333,0.14772727272727273,0.2564102564102564,0.136986301369863
On the computational intractability of exact and approximate dictionary learning,arxiv Library,1.0,,0.8738580796622404,arxiv Library,0.9,,0.8913004740048496,0.6,0.12396694214876033,0.68,0.26153846153846155
Emergence of simple-cell receptive field properties by learning a sparse code for natural images,crossref,0.0,,0.6793299400817341,,,,,0.0,0.0,,
Learning overcomplete representations,crossref,0.0,,0.7957704442717999,,,,,0.40476190476190477,0.1650485436893204,,
Dictionary learning algorithms for sparse representation,crossref,0.0,,0.8007776305603317,,,,,0.6428571428571429,0.06,,
An online algorithm for distributed dictionary learning,crossref,0.0,,0.693820270801899,,,,,0.0,0.0,,
On-chip sparse learning acceleration with cmos and resistive synaptic devices,crossref,0.0,,0.693820270801899,,,,,0.0,0.0,,
Adaptation of the simple or complex nature of v1 receptive fields to visual statistics,crossref,0.0,,0.671871284067928,,,,,0.0,0.0,,
Spatiotemporal receptive fields of barrel cortex revealed by reverse correlation of synaptic input,crossref,0.0,,0.671871284067928,,,,,0.0,0.0,,
Hidden complexity of synaptic receptive fields in cat v1,crossref,0.5,,0.804705848410171,,,,,0.29411764705882354,0.09523809523809523,,
Visual adaptation as optimal information transmission,crossref,0.0,,0.671871284067928,,,,,0.0,0.0,,
The criticality hypothesis: how local cortical networks might optimize information processing,crossref,0.8,,0.8520633520191792,,,,,0.36,0.1,,
Being critical of criticality in the brain,crossref,0.0,,0.6845796131318047,,,,,0.0,0.0,,
The functional benefits of criticality in the cortex,crossref,1.0,,0.7981678952515415,,,,,0.5555555555555556,0.0641025641025641,,
Quasicritical brain dynamics on a nonequilibrium widom line,crossref,0.0,,0.6989154837592879,,,,,0.0,0.0,,
Efficient auditory coding,crossref,0.0,,0.6677823876669443,,,,,0.0,0.0,,
Efficient coding of time-relative structure using spikes,crossref,0.3,,0.7797711506333744,,,,,0.2647058823529412,0.06870229007633588,,
Matching pursuits with time-frequency dictionaries,crossref,0.0,,0.6696252272462533,,,,,0.0,0.0,,
Orthogonal matching pursuit: recursive function approximation with applications to wavelet decomposition,crossref,0.0,,0.6717509896852701,,,,,0.0,0.0,,
A low complexity orthogonal matching pursuit for sparse signal approximation with shift-invariant dictionaries,crossref,0.0,,0.6646134649753053,,,,,0.0,0.0,,
Probabilistic framework for the adaptation and comparison of image codes,crossref,0.0,,0.6562722215309861,,,,,0.0,0.0,,
MPTK: Matching Pursuit made tractable,crossref,0.0,,0.6978429756809633,,,,,0.0,0.0,,
After the last,,,,,,,,,,,,
Song phrases of Zebra Finch,,,,,,,,,,,,
Inhibitory interneurons decorrelate excitatory cells to drive sparse code formation in a spiking model of v1,crossref,0.2,,0.8375198408389021,,,,,0.47058823529411764,0.11940298507462686,,
Nonlinear hebbian learning as a unifying principle in receptive field formation,arxiv Library,0.0,,0.8187279282768569,arxiv Library,0.7,,0.8675122298580478,0.38235294117647056,0.12264150943396226,0.3235294117647059,0.15942028985507245
Dropout: A simple way to prevent neural networks from overfitting,,,,,,,,,,,,
