,abstract,faithfulness,precision_recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,precision,recall,pdf-precision,pdf-recall
Dimensionality reduction:A comparative review,,,,,,,,,,,,
Local linear transformation embedding,crossref,0.0,,0.6814565306817016,,,,,0.0,0.0,,
and F,,,,,,,,,,,,
Laplacian Eigenmaps for Dimensionality Reduction and Data Representation,crossref,0.0,,0.7813051225370563,,,,,0.5,0.04285714285714286,,
Local coordinates alignment with global preservation for dimensionality reduction,crossref,0.0,,0.6767770222838942,,,,,0.0,0.0,,
Feature learning for image classification via multiobjective genetic programming,crossref,0.0,,0.6767770222838942,,,,,0.0,0.0,,
and Y,,,,,,,,,,,,
Discriminant analysis for unsupervised feature selection,crossref,0.0,,0.6767770222838942,,,,,0.0,0.0,,
Trace ratio criterion for feature selection,,,,,,,,,,,,
Eigenfaces vs,,,,,,,,,,,,
Face Recognition Using Kernel Based Fisher Discriminant Analysis,,,,,,,,,,,,
In D,,,,,,,,,,,,
Locality Preserving Projections,,,,,,,,,,,,
Semi-supervised Dimensionality Reduction via Harmonic Functions,crossref,0.0,,0.6773058317245619,,,,,0.0,0.0,,
Eigenfaces for recognition,,,,,,,,,,,,
Neighborhood preserving embedding,crossref,0.0,,0.680862821984229,,,,,0.0,0.0,,
Face recognition using laplacianfaces,crossref,0.0,,0.6773058317245619,,,,,0.0,0.0,,
Laplacian eigenmaps for dimensionality reduction and data representation,crossref,0.0,,0.8199430672067755,,,,,0.1388888888888889,0.07142857142857142,,
Effective Discriminative Feature Selection with Non-trivial Solutions,,,,,,,,,,,,
"Quimet,M.: Out-of-sample Extensions for LLE, Isomap, MDS, Eigenmaps, and Spectral Clustering",,,,,,,,,,,,
Learning a subspace for clustering via pattern shrinking,crossref,0.0,,0.6834905667814114,,,,,0.0,0.0,,
A Convex Formulation for Spectral Shrunk Clustering,arxiv Library,0.0,,0.8095074945467466,arxiv Library,0.6,,0.8760899514377269,0.2807017543859649,0.1702127659574468,0.24561403508771928,0.22580645161290322
Convergence theorems for generalized alternating minimization procedures,,,,,,,,,,,,
"Clustering and projected clustering with adaptive neighbors,In The 20th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining, KDD",,,,,,,,,,,,
A new simplex sparse learning model to measure data similarity for clustering,,,,,,,,,,,,
Unsupervised Large Graph Embedding,crossref,0.0,,0.7689822173691832,,,,,0.23255813953488372,0.09433962264150944,,
Reduction of Multimodal Labeled Data by Local Fisher Discriminant Analysis,,,,,,,,,,,,
Subspace Clustering via New Low-Rank Model with Discrete Group Structure Constraint,,,,,,,,,,,,
"A New Sparse Subspace Clustering Algorithm for Hyperspectral Remote Sensing Imagery,IEEE",,,,,,,,,,,,
