,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,pdf-precision,pdf-recall,precision_recall
The dropout learning algorithm,crossref,0.0,0.0,0.0,0.669058138371474,,,,,,,
Fast classification using sparse decision dags,arxiv Library,0.0,0.21212121212121213,0.06306306306306306,0.7397248121883131,arxiv Library,0.0,,0.8372314238264272,0.30303030303030304,0.12345679012345678,
Text classification: A sequential reading approach,arxiv Library,0.0,0.3333333333333333,0.2112676056338028,0.8436760584611466,arxiv Library,0.7,,0.8524739101848713,0.26666666666666666,0.16216216216216217,
Sequential approaches for learning datum-wise sparse representations,crossref,0.0,0.0,0.0,0.6754032615344822,,,,,,,
Sequentially generated instance-dependent image representations for classification,,,,,,,,,,,,
Learning to segment from a few well-selected training images,crossref,0.0,0.0,0.0,0.6892387750433565,,,,,,,
Speech recognition with deep recurrent neural networks,arxiv Library,0.0,0.36666666666666664,0.10576923076923077,0.8244770282986342,arxiv Library,0.5,,0.8584006309983672,0.3333333333333333,0.11627906976744186,
Hierarchical mixtures of experts and the em algorithm,crossref,0.0,0.0,0.0,0.683249774149336,,,,,,,
Timely object recognition,,,,,,,,,,,,
Imagenet classification with deep convolutional neural networks,crossref,0.5,0.16666666666666666,0.04716981132075472,0.8077585545455528,,,,,,,
Training deep and recurrent networks with hessian-free optimization,crossref,0.0,0.0,0.0,0.669058138371474,,,,,,,
Recurrent models of visual attention,arxiv Library,0.0,0.35526315789473684,0.2621359223300971,0.8409671932396254,arxiv Library,0.0,,0.8698893053847241,0.23684210526315788,0.27692307692307694,
Induction of decision trees,crossref,0.0,0.0,0.0,0.673151118152372,,,,,,,
Multi-column deep neural networks for image classification,crossref,0.0,0.0,0.0,0.6890742788435794,,,,,,,
Neural trees: a new tool for classification,crossref,0.0,0.0,0.0,0.683249774149336,,,,,,,
Deep learning for NLP (without magic),,,,,,,,,,,,
Perceptron trees: A case study in hybrid concept representations,crossref,0.0,0.0,0.0,0.683249774149336,,,,,,,
Solving deep memory pomdps with recurrent policy gradients,crossref,0.0,0.0,0.0,0.6715899323012368,,,,,,,
Bilingual word embeddings for phrase-based machine translation,,,,,,,,,,,,
