,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,pdf-precision,pdf-recall,precision_recall
On the convergence of block coordinate descent type methods,crossref,0.0,0.0,0.0,0.6787527346230386,,,,,,,
Label propagation and quadratic criterion,crossref,0.0,0.0,0.0,0.6582018998459157,,,,,,,
Nonlinear Programming,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Greedy block coordinate descent for large scale gaussian process regression,arxiv Library,0.0,0.11764705882352941,0.02,0.7733624023733361,arxiv Library,0.3,,0.8601967486904414,0.23529411764705882,0.05405405405405406,
Convex Optimization,arxiv Library,1.0,1.0,0.0,0.6676196850537062,arxiv Library,0.0,,0.6970200681355466,1.0,0.0,
Introduction to Algorithms,,,,,,,,,,,,
Inducing features of random fields,arxiv Library,0.0,1.0,0.0,0.6421958293559309,,,,,,,
Nearest neighbor based greedy coordinate descent,,,,,,,,,,,,
"Accelerated, parallel and proximal coordinate descent",arxiv Library,0.0,0.27906976744186046,0.11428571428571428,0.8189689599811865,arxiv Library,0.5,,0.8586894712350199,0.32558139534883723,0.1794871794871795,
The nature and use of the harmonic mean,crossref,0.0,0.0,0.0,0.6760158103265068,,,,,,,
Hybrid deterministic-stochastic methods for data fitting,crossref,0.0,0.0,0.0,0.6789882934272149,,,,,,,
A dual coordinate descent method for large-scale linear SVM,crossref,0.0,0.0,0.0,0.668687579941604,,,,,,,
Efficient structure learning of Markov networks using `1regularization,,,,,,,,,,,,
Randomized methods for linear constraints: convergence rates and conditioning,arxiv Library,0.0,0.19642857142857142,0.1896551724137931,0.8102498678925472,arxiv Library,0.5,,0.815473439338068,0.26785714285714285,0.19230769230769232,
Coordinate descent optimization for `1 minimization with application to compressed sensing; a greedy algorithm,,,,,,,,,,,,
On convergence of the maximum block improvement method,crossref,0.0,0.0,0.0,0.6900776715536422,,,,,,,
Error bounds and convergence analysis of feasible descent methods: a general approach,crossref,0.0,0.0,0.0,0.7075792922353008,,,,,,,
Convergence rate analysis of MAP coordinate minimization algorithms,,,,,,,,,,,,
Introductory Lectures on Convex Optimization: A Basic Course,,,,,,,,,,,,
Efficiency of coordinate descent methods on huge-scale optimization problems,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Five balltree construction algorithms,,,,,,,,,,,,
On the convergence of leveraging,crossref,0.0,0.0,0.0,0.6791997604551533,,,,,,,
Gaussian Markov Random Fields: Theory and Applications,crossref,0.0,0.0,0.0,0.6839701157723177,,,,,,,
Asymmetric LSH (ALSH) for sublinear time maximum inner product search,,,,,,,,,,,,
